"strata","time","n.risk","n.event","surv","std.err","lower","upper"
"Trt=CsMinus",90.2166666666667,12,1,0.174603174603175,0.047828547300246,0.102066902721746,0.298689073230898
"Trt=CsMinus",92.3333333333333,11,1,0.158730158730159,0.0460391302580228,0.0899024246212986,0.280251210093976
"Trt=CsMinus",95.2166666666667,10,1,0.142857142857143,0.0440866714177405,0.0780217093284105,0.261570317299813
"Trt=CsMinus",105.333333333333,9,1,0.126984126984127,0.0419484109614863,0.0664600003745057,0.242626668899425
"Trt=CsMinus",105.55,8,1,0.111111111111111,0.0395942580610999,0.0552628461844217,0.223399261253139
"Trt=CsMinus",108.066666666667,7,1,0.0952380952380952,0.0369830077784582,0.0444908569968971,0.203868736113873
"Trt=CsMinus",109.566666666667,6,1,0.0793650793650793,0.0340555716585603,0.0342277774855311,0.184026433655764
"Trt=CsMinus",112.983333333333,5,1,0.0634920634920635,0.0307216952878331,0.0245952566897518,0.163903234567986
"Trt=CsMinus",115.25,4,1,0.0476190476190476,0.0268302938009053,0.015782760564386,0.143674085841607
"Trt=CsMinus",118.8,3,1,0.0317460317460317,0.0220886457992478,0.00811764267274024,0.124150639816208
"Trt=CsMinus",122.683333333333,2,1,0.0158730158730159,0.0157465356432348,0.00227112217563774,0.110937507285034
"Trt=CsMinus",210.966666666667,1,1,0,NA,NA,NA
"Trt=CsPlus",79.6166666666667,64,1,0.984375,0.0155024490882691,0.954454898467757,1
"Trt=CsPlus",83.7666666666667,63,1,0.96875,0.0217490795423048,0.927046837557949,1
"Trt=CsPlus",99.0666666666667,62,1,0.953125,0.0264213852704466,0.902721685329497,1
"Trt=CsPlus",109.966666666667,61,1,0.9375,0.0302576823922454,0.880032811216519,0.998719864529867
"Trt=CsPlus",111,60,1,0.921875,0.0335460235103861,0.858415881690145,0.99002538717214
"Trt=CsPlus",121.883333333333,59,1,0.90625,0.0364350744261282,0.837579666062344,0.980550383178558
"Trt=CsPlus",123.833333333333,58,1,0.890625,0.0390136413192152,0.81735020639176,0.970468820368547
"Trt=CsPlus",124.966666666667,57,1,0.875,0.0413398642353842,0.797613617854721,0.959894594151039
"Trt=CsPlus",129.866666666667,56,1,0.859375,0.0434542880103261,0.778290480070743,0.948907136263406
"Trt=CsPlus",133.283333333333,55,1,0.84375,0.0453865235883682,0.759322786917765,0.937564465027835
"Trt=CsPlus",135,54,1,0.828125,0.0471589705767564,0.740666654045513,0.925910477917721
"Trt=CsPlus",135.183333333333,53,1,0.8125,0.0487890468624875,0.722287951239953,0.913979319282162
"Trt=CsPlus",135.3,52,1,0.796875,0.0502905983968114,0.704159540858649,0.901798142010079
"Trt=CsPlus",135.85,51,1,0.78125,0.0516748302942303,0.686259453971023,0.889388931501368
"Trt=CsPlus",136.166666666667,50,1,0.765625,0.0529509441864295,0.668569641885989,0.876769754264375
"Trt=CsPlus",140.816666666667,49,1,0.75,0.0541265877365274,0.651075095593998,0.863955638614639
"Trt=CsPlus",140.85,48,1,0.734375,0.0552081797855569,0.633763208782738,0.850959211817991
"Trt=CsPlus",143.583333333333,47,1,0.71875,0.0562011506638209,0.616623306983871,0.837791171123398
"Trt=CsPlus",145.2,46,1,0.703125,0.057110123114115,0.599646293001454,0.824460638538127
"Trt=CsPlus",146.4,45,1,0.6875,0.0579390506804348,0.582824375605973,0.810975432365145
"Trt=CsPlus",149.3,44,1,0.671875,0.0586913250051434,0.566150859075951,0.797342277925327
"Trt=CsPlus",153.716666666667,43,1,0.65625,0.0593698599748854,0.549619978029366,0.783566973027661
"Trt=CsPlus",154.983333333333,42,1,0.640625,0.0599771583311878,0.533226766538846,0.76965451919995
